Pathway	105-BS	A479-R	A479-RS	B065S-R	B065S-RS	B067H-R	B067H-RS	B074S-R	B074S-RS	B076BH-R	B076BH-RS	B118H-R	B118H-RS	B124H-R	B124H-RS	B456-R	B456-RS	GY-R	GY-RS	H424-R	H424-RS	HB-R	HB-RS	K474-R	K474-RS	NHB-R	NHB-RS	XM-BS	ZJ-BS
Oxidative phosphorylation 	2234206.47	1830017.12	1648030.13	1433260.35	1308746.56	1227112.93	1915628.06	875371.76	1893399.4	1117982.73	1405147.46	842963	1315794.82	1333159.65	1300563.26	1552722.62	1643994.71	1593534.76	1889691.71	1266845.48	1786804.62	1275590.69	1125544.85	1311205.2	1472197.9	1872043.9	1887252.66	1821481.92	1573852.32
Oxytocin signaling pathway 	4101	10	147.5	317	90	0	704	236	548	0	37	0	9755	118	182	29	4275	2159	1510	0	1272	332	54	42	591	5202	0	0	0
PI3K-Akt signaling pathway 	43249.06	42694.17	38988.35	48275.45	36185.35	41753.65	56392.33	26425.8	45062.05	37163.99	39591.2	27807	38412.14	46067.62	38999.6	52980.66	37598.64	43037.51	38535.13	46902.38	38969.79	23684.41	27380.99	35311.94	30584.5	44893.04	45444.13	28079.25	33249.67
PPAR signaling pathway 	460651.91	439058.64	347420.97	356080.3	231798.85	332843.36	421626.84	174339.08	327901.86	286068.88	286935.91	222384.57	307605.19	378711.38	254858.29	372561.12	353884.77	385977.06	357102.83	340682.14	392095.88	258001.21	151353.52	276461.43	306594.62	403094.06	386092.12	349919.09	225086.2
Pancreatic cancer 	175.2	256.5	498.1	0	21	45	0	64.5	285	0	21	0	667.5	0	37	712.5	503.33	196.5	232	88.5	67	298	243	34	91	89.5	15	197	24.5
Pancreatic secretion 	6220.04	10872.12	9238.17	1292.13	4234.48	2323	2480.19	3168.5	5458.13	1451.75	3132.25	1124.34	2501.2	499.92	3171.94	16222.07	3926.12	2844.35	5962.81	10269.23	2215.4	9477.77	8769.22	3937.05	2650.42	5929.93	2758.25	2014.67	2707
Pantothenate and CoA biosynthesis 	1152914.65	833740.2	822390.33	745075.34	638308.54	677433.74	1090417.88	473675.6	892295.75	594644.68	730333.07	462417.32	685857.86	730165.25	727218.48	788458	881014.38	817169.92	926423.09	677533.45	943950.04	628905.69	552359.88	599788.95	723351.88	865237.15	952360.45	891607.75	692972.24
Parathyroid hormone synthesis	175.2	294.5	534.6	0	21	45	10	64.5	350	0	21	0	671.5	0	37	729.83	503.33	205	232	89.33	67	298	457.4	59.17	91	129.5	15	215	24.5
Parkinson disease 	237533	253397.57	222389.33	125163.01	133046.68	112542.41	225950.56	84164.87	200616.07	108149.45	147140.95	84464.07	152774.94	123570.09	136862	257532.81	240970.63	205261.3	207337.6	143507.3	240611.65	174166.57	97729.14	146329.76	181571.3	193085.37	213611.8	159079.75	153676.51
Pathogenic Escherichia coli infection 	107258.1	156094.97	122089.07	63532.57	66566.6	58187.11	103128.74	46388.05	105118.95	59209.47	70376.86	39963.83	71017.33	58066.52	61983.5	129569.26	121563.4	102998.95	115556.62	85690.97	123448.64	98206.85	61472.72	62629.35	94266.45	93276.56	101961.68	88682.4	88325.17
Pathways in cancer 	281836.31	463333.04	348128.45	226537.43	217691.52	244227.25	386200.55	192443.12	323219.8	240939.8	218152.49	162497.89	231318.6	226819.79	261119.07	396727.24	376646.02	303598.86	349226.11	208056.47	383747.46	284402.91	245988.47	181697.23	280213.01	263839.75	335274.71	191351.54	267558.34
Pathways of neurodegeneration - multiple diseases 	218501.79	344091.64	241189.2	190149.51	174468.98	173265.75	292602.39	129723.6	240634.85	160559.09	169120.52	126489.22	189949.74	181800.1	182358.2	281372.15	273623.71	237691.18	244263.79	149759.09	284221.85	192179.85	171595.2	154734	208918.58	230150.35	250295.5	151020.85	193643.17
Penicillin and cephalosporin biosynthesis 	53804.22	53470.26	64280.37	46943.28	35621.32	47423.32	47980.65	21368.71	56647.45	45758.74	35861.04	30199	34326.64	48174.87	30158.12	63252.18	59735.96	59039.84	51490.95	83513.89	48651.98	37739.23	20569.68	31744.91	40069.64	49339.52	53243.79	29630.33	52625.67
Pentose and glucuronate interconversions 	441423.85	262496.73	364817.04	244206.08	308256.98	231341.27	495395.25	238949.16	432046.44	200790.69	287208.16	158676.52	297549.8	235515.88	390861.23	397567.17	439748.34	364423.26	469697.06	388732.84	402532.53	311593.81	382283.24	210303.78	270134.38	321529.61	429117.42	303665.19	334163.04
Pentose phosphate pathway 	1091959.49	922170.88	862769.47	696170.66	729935.06	626784.33	1086806.96	559100.64	1004056.85	547783.79	774730.77	443095.97	716112.29	683445.16	855706.22	744417.33	934106.26	853425.14	1023278.84	770941.67	983617.62	661264.11	842523.98	589277.5	711340.02	880563.68	957259.59	863976.1	795653.43
Peptidases and inhibitor	2697930.5	2475094.72	2132567.85	1726973.59	1719734.93	1606941.31	2317540.25	1275696.42	2400976.44	1494460.31	1683954.58	1072862.63	1648429.2	1677500.12	1805164.41	2395737.16	2131802.21	1979799.51	2472259.08	1699067.01	2259598.68	1567950.59	1866677.75	1542192.29	1759791	2146190.6	2308663.25	2091210.17	1906685.34
Peptidoglycan biosynthesis 	1122585.35	807421.29	742144.11	602786.4	602796.82	503478.56	876225.15	399962.51	842071.05	458398.53	664365	339220.99	612261.44	544175.4	640785.26	650900.92	758580.28	693061.3	803640.98	586464.53	784309.92	539545.97	573793.84	588736.18	636883.12	779593.56	796049.54	894713.97	741202.39
Peptidoglycan biosynthesis and degradation protein	1356353.1	1252839.5	980810.18	856203.1	835352.58	794780.35	1174182.23	629907.58	1143546.53	738976.74	873885.89	524520.74	813130.19	810768.43	919040.94	997598	1000327.82	918464.14	1142146.98	770786.49	1037207.88	745148.85	959688.68	802149.57	843310.29	986899.68	1053189.19	1077770.39	960680.89
Peroxisome 	493968.83	492015.21	355840.48	401694.48	287419.3	407735.63	481724.04	222171.1	403966.12	352991.21	334952.15	276350.14	326601.85	456187.64	310393.21	403140.41	387529.11	424054.98	413485.83	352073.09	424869.52	277879.65	239460.48	278944.7	326594.31	462226.14	420064.16	356621.04	299945.53
Pertussis 	31577.22	324651.26	60724.19	108417.83	111553.41	152538.85	129572.65	147610.43	156526.79	151983.89	93131.35	92573.95	81987.5	133044.06	161493.94	58109.9	72266.86	73792.36	223081	39246.99	68816.55	85127.43	286181.93	61546.27	65036.82	64263.57	110300.12	25642.83	70240.5
Phagosome 	330	0	73	0	0	0	20	0	34	0	27	0	8	0	0	0	0	0	106	0	0	23	0	599	0	0	63	340	37
Phenazine biosynthesis 	103983.83	75210.46	70624.19	55315.59	60016.46	53711.46	83170.98	37730.59	89136.87	52098.98	61175.9	33204.83	50789.12	54885.24	59498.05	60456.03	65694.4	57328.78	84258.88	46911.72	73201.17	45605.88	51104.05	59602.19	61883.36	67616.11	73513.47	88732.67	78650.34
Phenylalanine	1043745.29	878893.9	746752.64	704168.17	641694.57	640005.37	940890.86	464980.11	902284.18	593886.15	705449.14	421379.37	633449.53	677340.31	683186.91	649417.72	792879.42	744482.63	885104.27	596260.73	848496.98	618436.75	643886.99	639865.37	676009.11	817412.73	839207.02	858343.37	724992.24
Phenylalanine metabolism 	979093.95	1203651.54	962736.19	1003531.53	626890.66	940698.91	1204786.47	541498.3	909207.74	825588.98	747324.7	644937.92	833392.28	1035891.77	713548.63	1021822.6	1023978.75	1058853.78	1010238.08	970901.48	1104084.34	743285.73	544189.09	586114.27	762417.09	1031371.37	1099288.79	735570.42	646723.38
Phenylpropanoid biosynthesis 	148441.34	123901.68	134964.45	70009.88	109539.89	46232.97	133620.32	55917.76	169569.5	44984.23	107053.62	36489.92	109913.59	54072.5	95064.01	150469.77	183834.45	156430.85	151264.53	183298.05	158469.71	88025.2	104569.08	87243.21	97788.96	126260.13	154361.3	101941	118038.02
Phosphatidylinositol signaling system 	163484.63	154962.28	140556.91	101017.61	100260.12	89331.94	137441.82	73069.07	140691.49	79864.72	107595.65	58791.75	99896.6	100430.45	110123.32	131533.33	145727.32	129483.3	134198.25	107447.66	146408.93	133781.09	113564	102134.92	109676.96	131620.07	135660.83	119917.75	106016.51
Phospholipase D signaling pathway 	6032.09	33920.98	16871.27	13326.03	15378.73	17189.48	23607.65	13249.29	19700.35	17333.99	15923.29	10930.75	12583.91	14707.62	18396.57	23944.02	15830.54	13641.17	12932.96	11463.43	16969.21	19327.66	23271.44	19196.03	14010.69	11330.28	15973.35	8457.64	17452.67
Phosphonate and phosphinate metabolism 	118218.61	192313.94	190329.65	140090.01	116991.35	201019.68	257365.27	128326.12	154624.46	179284.52	123324.64	127237.91	125502.5	181085.33	167108.1	133446.83	177191.8	127808.04	191803.07	106631.85	206952.61	145938.32	144266.15	60142.16	127957.16	126805.27	194860.98	107385.89	109309
Phosphotransferase system (PTS) 	198203.2	205179.86	134151.12	93567.89	190721.58	110547.6	163405.88	205517.49	181617.65	81680	133169.01	69286.28	137142.98	104052.03	274704.07	116124.59	151624.79	116150.18	307843.96	113181.13	123786.86	92696.82	443901.12	107247.39	103395.89	111183.93	143040.65	117675.84	126880.86
Photosynthesis - antenna proteins 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0
Photosynthesis 	450278.39	312784.23	296742.59	245216.93	245757	194016.03	334294.69	159927.37	352062.35	176263.42	276916.35	143513	250316.08	220321.96	235768.72	255674.08	299829.61	281907.53	328687.16	197970.04	328243.25	231474.82	207712.79	254929.39	280891.71	338996.92	344664.24	369496.18	289179.53
Photosynthesis protein	476826.74	349863.26	364889.9	267038.13	271630.93	200168.68	367756.52	180472	378740.35	183191.91	304615.96	154280.75	272872.18	228727.58	261569.17	285664.46	329682.66	311929.02	357622.38	225739.5	357737.54	258319.02	230314.17	281587.22	309264.05	365177.24	382074.61	390337.73	307106.53
Phototransduction - fly 	0	10	0	221	90	0	0	0	0	0	37	0	0	38	182	0	58	452	0	0	0	166	0	0	0	3847	0	0	0
Phototransduction 	0	10	0	221	90	0	0	0	0	0	37	0	0	38	182	0	58	452	0	0	0	166	0	0	0	3847	0	0	0
Plant hormone signal transduction 	16.2	9.2	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2	15.2	31.8	0	0	0	280.8	29.8	10	0	0	0	0	0
Plant-pathogen interaction 	235106.27	257471.67	204419	170095.48	152560.28	167449.12	218905.47	118861.78	235825.26	159186.25	153410.92	105798.25	151622.35	158818.5	162247.13	265575.82	239214.2	201400.93	253034.48	160755.6	234800.71	180092	175245.08	157211.22	170400.97	192120.45	217416.96	169829.54	166495.18
Platelet activation 	0	2	0	0	0	0	0	0	103.5	0	93	0	76	0	92	0	0	0	0	0	0	38	0	708.34	0	0	63	680	37
Platinum drug resistance 	267830.51	399744.58	319745.42	208093.68	188828.31	203537.35	346737.64	161456.7	289684.29	202322.63	186336.24	132611.48	190630.54	186883.8	224757.26	365461.75	332024.57	265163.2	320190.86	174099.75	351358.51	274247.66	204560.99	140432.69	262223.22	248994.21	302914.48	186820.78	252201.84
Polycyclic aromatic hydrocarbon degradation 	53591.94	102051.52	83368.96	73999.51	39233.5	76379.91	82659.4	43795.51	59417.46	69929.92	46065.37	52881.99	48839.22	80824.24	47115.05	95256.43	91919.37	93147.28	59625.07	82510.63	99943.4	79977.75	38727.95	37772.57	53205.82	67911.58	83345.12	35755.15	52364.5
Polyketide biosynthesis protein	46165.8	35766.32	50682.1	93185.48	44099.66	60079	28942.01	38452.82	40971.8	37159.5	43846.35	48706.5	45167.79	112083.5	42701.53	57231.64	56480.49	66942.89	51818.17	208094.9	31773.89	54286.81	57447.27	33339.07	28217.34	56925.29	36607.03	31796.44	7939.5
Polyketide sugar unit biosynthesis 	218755.76	202400.76	180888.11	148550.95	139606.82	116672.93	222491.42	95970.15	210728.97	99889.2	158846.85	99141.49	148145.28	139718.85	147721.94	166548.72	181461.09	170808.94	210434.21	155540.49	203259.84	97666.58	126047.88	114642.44	141497.73	171620.42	202288.61	183794.03	149984.84
Porphyrin and chlorophyll metabolism 	1273171.29	1319241.42	1151283.72	851745.62	801126.35	609287.17	1285325.48	528655.76	1179924.34	524333.08	922412.01	480950.43	871362.56	723689.46	828311.16	991550.67	1101952.74	1045254.38	1195825.34	859249.24	1195145.37	873486.81	724111.89	743629.82	914282.42	1139192.34	1201575.21	1081260.5	867684.56
Prenyltransferase	347310.39	243192.8	259295.59	211755.68	195540.92	153065.41	283828.65	124013.85	277069.82	134863.45	219189.74	105158.17	198348.81	175153.44	193089.13	211596.22	254888.3	256945.03	279028.07	249345.12	269420.29	173064.08	155006.5	201103.27	212558.95	294680.93	263182.04	277864.67	222444.69
Primary bile acid biosynthesis 	15847.66	26104.56	19445.46	34601.56	12402.56	19360.65	20159.91	10741.76	21516.25	10598.24	16505.19	18012.83	22969.16	35460.2	8866.4	12459.95	18141.43	32413.22	22313.52	20747.98	23350.99	13869.78	3499.44	16835.37	19036.65	32893.26	18744	7683.86	12145.5
Primary immunodeficiency 	55221.19	67237.88	48394.37	55384.56	45217.48	46649.96	62645.64	31120.26	62710.01	42137.98	52211.75	31149	48746.21	51356.74	44827.11	87957.86	66586.85	65104.5	56800.3	87397.58	57466.77	46791.19	47249.01	30143.43	35739.6	73858.61	55447.05	40596.25	43138.67
Prion disease 	133252.52	192169.17	161652.28	95958.59	92443.04	92516.04	166478.33	67231.25	128288.08	90171.9	87286.08	64836.82	99806.74	88965.47	96842.67	177790.02	173622.49	140989.76	139909.51	77763.91	177981.01	136818.86	68800.1	97379.73	138381.51	114713.59	151673.16	93325.6	103761
Prodigiosin biosynthesis 	446889.68	356397.01	323965.54	289400.55	252980.99	256400.17	397917.48	173701.24	335520.07	231792.91	285720.65	171994.57	247385.78	279771.9	262064.76	332170.02	334134.48	320800.37	368019.8	267093.27	375523.93	219005.68	188644.38	220187.62	289621.14	332230.63	385759.52	357294.11	264176.04
Progesterone-mediated oocyte maturation 	19883.31	34170.9	24154.3	25064.03	20831.98	21929.48	28060.17	16317.96	27072.5	20018.99	21698.7	15284.25	19710.22	23713.12	22501.87	30380.62	24798.75	26727.77	24069.71	29175.12	25317.06	14966.79	23968.54	24372.92	17971.23	21202.12	23197.86	13973.79	19997.17
Prokaryotic defense syste	680586.88	804922.38	610828.6	515580.79	512326.11	467231.06	711722.32	358917.52	771597.74	418806.64	483720.9	308367.42	484149.5	484907.99	560745.89	619689.65	721437.42	617223.06	771755.7	537811.39	773503.47	610656.71	605693.97	427553.42	512688.84	675056.34	749999.82	524922.09	561948.25
Prolactin signaling pathway 	31614.51	5913.86	11497.25	13369.8	12972.03	6591	12418.34	6823.5	15686.5	4201.75	13609.45	5392.42	9569.13	10855.42	11980.64	4879.7	8972.48	12365.85	16678.02	11805.37	9415.75	4897.3	11099.7	8392.49	8057.46	13164.03	14525.58	24276.75	16190.17
Propanoate metabolism 	1446127.56	1380831.11	1110276.41	1184212.77	827326.77	1033235.31	1349153.49	646879.44	1191112.39	929995.24	937640.06	692797.58	971212.45	1127568.37	873653.61	1104705.33	1154949.79	1156310.05	1222865.23	1005516.49	1248770.69	878428.9	748113.84	838014.62	965714.13	1256948.56	1250340.66	1145916.77	876557.92
Prostate cancer 	19883.31	34175.9	24154.3	25064.03	20831.98	21929.48	28060.17	16317.96	27072.5	20018.99	21698.7	15284.25	19710.22	23713.12	22501.87	30380.62	24798.75	26727.77	24069.71	29175.12	25317.06	14966.79	23968.54	24372.92	17971.23	21202.12	23197.86	13973.79	19997.17
Proteasom	87887.71	57164.61	61056.05	110720.53	55192.98	60646.48	69328.42	33331.96	76024	43568.99	76812.2	44750.75	80590.22	92087.12	45879.87	51675.62	54404.17	101658.19	64567.52	118597.6	60856.81	39307.89	28147.14	70560.13	41367.57	129391.12	67104.86	63271.21	48474.17
Proteasome 	21015.6	9981.59	15529.75	36367.5	13711	15803	16922.25	7164	17647	9999	22293	12526.5	25466	27540	8553	10324.24	13241.61	32936.56	13711.49	43753.16	14469.75	10392.9	1667.4	18790.85	9461.67	36585	17412	16292.75	10170
Protein digestion and absorption 	11411.48	7048.23	9313.5	13099	8123.67	813	10716.83	2830	10447.5	1191	7457.25	535	14649.84	1150	4122	15683.23	9730.37	13916.04	10321.33	12474.5	11003.5	4332.77	2227.6	8336.26	6586.53	14225.17	9469	9575	1622
Protein export 	835531.27	613214.92	572673.15	489913.25	483442.45	387080.68	654261.47	302600.89	684619.17	347909.84	524510.72	262672.75	462678.9	436155.76	471466.68	518327.3	588541.63	570162.27	669316.51	440724.85	626189.06	424334.07	440573.5	495538.25	517571.97	645635.35	612598.38	695454.59	569727.54
Protein kinase	781088.81	1177664.18	664346.88	718115	581429.77	685779.97	963986.93	509006.64	792338.92	616471.6	614541.09	479113.52	643597.3	712958.5	708207.05	940402.61	742793.17	700806.16	780376.82	683675.38	728801.66	573925.02	726211.48	434639.08	555060.47	701191.81	805304.14	569847.96	580285.23
Protein phosphatases and associated protein	150326.36	119661.3	109093.82	106862.97	93075.23	88836.44	120506.35	63278.38	130771.15	79758.22	103057.63	58367.75	89098.61	98943.78	91681.85	120707.03	111270.48	116330.22	126054.06	122556.2	112128.73	77808.77	85215.09	98257.36	91249.65	127958.54	115399.16	115533.29	101838.18
Protein processing	493557.81	658823.73	407281.55	365562.45	320189.01	340912.13	520782.67	246036.5	479235.02	314467.96	353041.74	238901.96	352409.86	352156.14	341758.86	488854.85	419935.54	394737.04	514978.67	361013.63	440847.16	350493.54	369924.83	273887.03	334975.65	411795.03	452537.17	417630.55	325273.22
Protein processing in endoplasmic reticulum 	106118.18	70299.37	63379.34	73349.54	51077.38	59854.49	94920.98	37274.64	78332.47	54542.49	56497.67	41356.75	63736.66	65165.62	49842.84	69823.89	74552.45	65375.8	73443.09	51945.55	83001.54	32601.53	37154.18	61254.99	63416.47	77297.59	73751.16	75545.91	57315.35
Proteoglycan	0	15	0	0	0	0	0	0	0	0	0	0	25	0	0	248	0	0	315	1746	0	58	0	755.34	0	439	88	2305	0
Proteoglycans in cancer 	53850.86	38117.7	34339.97	29538.53	29190.53	23780.48	39825.84	18026.46	42477.5	21564.49	32580.2	16068.25	28158.64	26575.62	28337.12	30507.21	33976.39	32990.32	42069.51	25136.63	37098.96	26329.04	25236.71	32150.68	31393.34	39736.82	37527.36	46912.04	34754.34
Proximal tubule bicarbonate reclamation 	50657.66	40747.05	43958.27	50709.5	35951.19	43904.32	72741.31	32698.14	50642.11	36561.24	36736.07	26563.83	39394.07	46794.04	45056.24	53715.62	43807.2	42311.55	52124.19	46277.35	43878.26	29529.79	32663.93	21037.28	30352.63	59635.35	47248.65	29755.11	28415.34
Purine metabolism 	2451674.48	2204399.08	1869672.28	1534382.75	1537782.27	1250356.34	2259159.59	1064281.66	2187754.09	1086825.04	1649700.5	893531.19	1577884.25	1409739.91	1634179.45	2042826.41	1984945.31	1885559.84	2232159.18	1569594.19	2116757.66	1528150.81	1571479.84	1388617.8	1573985.29	2105017.74	2088263.89	1927965.07	1578111.13
Pyrimidine metabolism 	1482976.76	1206870.92	1080297.54	851861.49	900585.24	720483.03	1247849.27	618745.77	1255676.07	635995.39	944697.27	493900.5	866930.87	786997.57	935359.86	1176994.9	1109912.47	1018463.19	1272922.34	855535.88	1174391.89	898368.97	946907.11	817409.99	929934.34	1181769.14	1175452.05	1191787.56	994287.77
Pyruvate metabolism 	1987783.25	1822347.9	1476416.57	1533477.63	1205013.05	1338609.55	1992587.64	929704.01	1696918.63	1170817.16	1378429.79	922104.27	1297249.36	1475258.05	1345534.69	1552165.71	1596580.73	1603862.44	1707212.41	1405028.69	1730069.92	1215798.81	1174341.36	1121293.16	1294433.78	1739788.19	1719266.55	1545758.42	1302567.48
Quorum sensing 	3067170.05	2663694.23	2923440.01	2305351.11	1880162.75	2603720.6	3517131.45	1789688.44	2631233.13	2486605.12	2154749.3	1589431.65	1872578.17	2436079.88	2383052.74	2820360.38	2607370.22	2439893.99	2859406.72	2280028.55	2990983.66	2725852.6	2114610.12	1569006.74	2107333.54	2543708.8	3026193.21	2546731.79	1990001.09
RIG-I-like receptor signaling pathway 	2017.26	4875.52	8060.37	2240.25	6596.43	1986.5	20846.5	9040.67	4555.8	1047.25	5784.16	3039	7108.59	3807.25	16155.16	5399.76	6972.49	4857.22	2922.41	4859.64	6029.72	10388.16	15155.33	5250.6	4349.12	4594.12	7468.12	994.46	3105.5
RNA degradation 	764527.37	612489.7	539198.78	430676.69	442600.06	345103.01	592442.06	280074.18	642346.13	321078.09	477078.55	233166.75	423621.13	376232.01	435151.99	493763.86	533468.68	515263.99	630333.41	400320.6	581829.72	398195.23	413595.94	487299.13	474027.17	577290.14	578019.75	622512.19	507769.88
RNA polymerase 	218042.36	150686.09	136314.05	118580.12	116250.95	95180.42	158868.01	72300.34	167450.9	86250.96	129475.8	64268.5	112996.51	106331.98	113406.48	120151.51	138779.06	133767.61	162464.51	93294.19	149586.74	104861.16	100996.51	122930.03	124496.36	156656.65	150252.45	176431.01	142985.51
RNA transport 	76823.97	62949.39	32483.27	35564.11	33937.3	36312.96	38535.89	28236.25	47174.92	34929.23	37529.85	24428.17	30984.68	37225.16	43381.3	56947.77	23741.25	27375.17	39526.02	24435.47	34034.08	22117.92	55264.57	34949.91	25121.14	34445.75	37378.8	51362.25	37976.51
Rap1 signaling pathway 	0	10	0	221	90	0	0	0	0	0	64	0	0	38	182	0	58	452	0	0	0	189	0	599	0	3847	63	340	37
Ras signaling pathway 	10.2	271.5	498.1	221	111	85	0	64.5	285	0	58	0	667.5	38	219	712.5	561.33	648.5	179	88.5	67	464	243	34	91	3936.5	15	197	24.5
Regulation of actin cytoskeleton 	0	5	0	0	0	0	0	0	0	0	54	0	0	0	0	20.67	155.5	113	178.67	0	331.17	23	0	599	0	493.33	78.33	680	37
Regulation of lipolysis in adipocytes 	3756	0	111	96	0	40	694	236	531	0	0	0	9751	80	0	29	4162	1707	1457	0	1272	166	54	21	352	1355	0	0	0
Relaxin signaling pathway 	0	7	0	0	0	0	0	0	103.5	0	66	0	76	0	92	0	0	0	0	0	0	15	0	109.34	0	0	0	340	0
Renal cell carcinoma 	48268.25	51030.33	30848.74	30472.84	28834.98	25235.29	38687.28	19896.08	45108.53	23875.73	32120	18291.08	28628.63	27096.32	29012.74	30086.54	33377.89	32546.99	42337.41	23417.46	35933.96	27282.04	31604.63	31311.5	30202.34	40373.82	37288.36	42229.71	30424.17
Renin secretion 	2493.08	2151.33	4194.25	854	2377.75	60	2940.25	64	2055.4	156	1428.5	50	1364.08	215	2623.75	12314	4751.75	4229	2385	1951.5	4423.75	1550.25	1387.5	3341.25	2399.5	5306.84	3071.25	1487	1842
Renin-angiotensin system 	27316.43	15888.4	40495.62	27278.67	25495.45	9243.67	39570.93	11211.17	33578.05	5448.5	21637.42	7033.75	29944.04	14081	22624.98	45267.75	28169.49	31140.05	31018.42	15437.1	37141.55	10280.24	9369.79	18081.77	23222.69	43893.77	33720.35	20247.87	26691
Replication and repair	420430.08	764092.13	489836.97	359837.09	366466.22	280222.25	541525.42	261908.44	561183.01	257343.23	354210.08	195773.16	341764.78	308327.98	390566.47	455140.47	527739.55	455224.59	599400.11	362419.03	631235.17	343402.07	455777.11	318371.61	381477.1	530708.5	491343.99	347559.29	378999.02
Retinol metabolism 	119127.89	157906.35	109110.42	118776.91	75655.2	90852.36	148199.87	59245.18	103919.04	72812.04	86496.92	73952	93505.82	114641.91	81779.99	112960.87	116692.02	136559.09	110074.61	134817.96	135081.75	95104.78	55760.5	87107.53	99392.85	136272.49	137010.24	85168.12	63983.17
Retrograde endocannabinoid signaling 	4516.67	49	489	96	18	0	760	236	570	0	66	0	9771	80	287.5	55.25	4340	1939.5	1645	13	1522	330	54	155.5	686	1445	91	258	175
Rheumatoid arthritis 	0	12796	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	96	0	0	0	407	0	46	0	214	0	0	0
Riboflavin metabolism 	349536.11	346273.92	260750.12	224835.13	227158.65	188350.08	335297.55	155132.55	314884.03	166021.09	250309.24	134565.4	248552.01	208873.12	246789.2	271955.61	281222.14	269220.76	304553.26	226494.4	297867.77	205678.9	240154.15	215300.44	227547.42	283422.32	306750.13	280191.54	248502.35
Ribosom	2905695.68	2056922.61	1842805.45	1638631.94	1578378.63	1301313.69	2175812.92	983953.45	2297329.15	1173389.36	1749941.25	875499.84	1519602.99	1457406.08	1531810.15	1628328.19	1883238.15	1838791.49	2266858.5	1351419.24	2037544.58	1423707.7	1374403.47	1657179.16	1700333.62	2190183.98	2026339.06	2372048.3	1863384.01
Ribosome 	2904891.43	2055017.61	1841647.95	1637592.94	1574099.13	1301089.19	2173449.42	982940.45	2293022.15	1173076.36	1747681.75	875363.84	1517400.49	1456952.08	1527593.15	1627994.36	1882321.9	1838257.49	2265929.5	1350791.24	2036125.58	1423082.7	1372457.47	1656817.41	1697927.37	2189316.48	2025044.06	2371020.8	1855003.01
Ribosome biogenesi	2123917.91	2144863.03	1516022.82	1262062.04	1371954.96	1133447.31	1835733.08	956006.56	1939196.15	1061637.34	1431219.12	771049.32	1258870.95	1176889.1	1438055.04	1539033.52	1517573.85	1432239.62	1885863.91	1025164.94	1607618.91	1256817.6	1572580.15	1344306.2	1350372.74	1624109.4	1650542.74	1687097.72	1633639.78
Ribosome biogenesis in eukaryotes 	74582.8	89175.88	53959.05	58736.29	56966.02	51247.44	86140.61	41302.71	79765.93	45928.47	63339.78	35012.33	55060.97	56534.19	64446.09	57736.09	49107.3	58125.75	73550.7	47577.69	53666.49	45174.83	64959.15	61814.29	46585.48	75952.35	62424.57	57575.2	65606.34
Salivary secretion 	6375.84	10872.92	8627.42	1334.63	4324.48	2323	2352.44	3168.5	5458.13	1451.75	3169.25	1124.34	2501.2	537.92	3353.94	16245.87	3913.92	3264.55	5879.31	10269.23	1935.15	9354.97	8739.42	3857.05	2524.42	9752.93	2758.25	1870.42	2707
Salmonella infection 	260161.12	300315.64	239866.27	162156.19	155665.9	156363.12	231584.42	111604.86	240082.89	151431.79	173167.61	105377.41	168202.44	152257.55	158310.46	265738.19	259750.24	226801.28	239560.74	190791.95	260528.03	210027.51	155887.4	163564.32	187652.28	209064.18	233969.46	197298.91	198832.18
Secondary bile acid biosynthesis 	39621.34	62290.54	38905.06	49319.13	39543.23	52251.25	56689.54	28721.27	55622.92	45050.21	39886.42	36801.49	36154.54	60028.22	40364.43	52462.69	45661.78	38044.55	52423.35	22685.87	53542.67	45125.05	38756.06	20551.38	40124.68	42762.49	47674.55	30991.19	49048.5
Secondary metabolism	25236.72	62879.58	25778.55	28322.24	31759.46	29883.79	36858.11	27609.94	36214.67	25452.98	29223.07	21621.58	34223.98	33590.58	41103.52	39536.5	25515.13	24323.72	36601.6	23920.4	29099.23	26859.74	52840.72	22868.63	19717.02	25665.71	30168.01	17720.87	24541.17
Secretion syste	2186068.9	3568425.22	2150597.63	1941309.46	1852287.98	1918384.85	3052920.89	1478054.78	2800536.92	1897667.43	1873220.37	1314950.13	1796374.57	1773450.47	2185942.1	3648074.93	2529373.48	2069973.95	2888664.28	1365446.56	2664710.45	1815661.44	2570651.51	1787882.96	1937368.88	2022078.46	2422803.61	1660352.4	2202198.06
Selenocompound metabolism 	613192.05	447356.86	428025.48	357649.56	357662.56	340197.54	498026.72	248720.52	493716.94	290223.17	376100.22	231420.18	356502.85	386440.73	383476.12	385256.49	419346.18	410186.48	520742.37	311002.72	452089.7	301693.47	345153.04	326304.09	353018.39	483580.63	489049.19	504467.74	379901.04
Serotonergic synapse 	51680.53	38725.53	40129.42	14491	18205.24	15551.5	21856.86	7585.86	30642.7	10354	24134.93	15490	37989.1	31170	16353.43	41521.94	49007.12	32147.51	33179.17	27859.63	40094.16	13872.15	13101.37	13632.24	17154.05	34276.01	27952.86	25318.44	9055.84
